dateBefore,population_size,state_population_size,severityScore,severityMax,pctStateAffected,interventionFootprint,State
3/13/2020,4903185,19612740,0.4,0.4,1,0.1,Alabama
3/18/2020,4903185,19612740,1.6,1.6,1,0.4,Alabama
3/24/2020,4903185,19612740,2.2,2.2,1,0.425682898,Alabama
3/27/2020,4903185,19612740,3.8,3.8,1,0.820770622,Alabama
4/4/2020,4903185,19612740,4,4,1,1,Alabama
3/12/2020,8535519,8535519,0.1,0.1,1,0.1,Virginia
3/17/2020,8535519,8535519,0.3,0.3,1,0.3,Virginia
3/23/2020,8535519,8535519,0.8,0.8,1,0.8,Virginia
3/30/2020,8535519,8535519,1,1,1,1,Virginia
3/11/2020,3017804,15089020,0.5,0.5,1,0.1,Arkansas
3/12/2020,3017804,15089020,1.7,1.7,1,0.159590053,Arkansas
3/17/2020,3017804,15089020,2,2,1,0.4,Arkansas
3/19/2020,3017804,15089020,3,3,1,0.6,Arkansas
3/13/2020,6113830,233222264,3.8,3.8,0.996155067,0.099615507,Missouri
3/19/2020,6113830,233222264,15.2,15.2,0.996155067,0.398462027,Missouri
3/22/2020,6137428,239359692,18,18,1,0.485040378,Missouri
3/24/2020,6137428,239359692,20.4,20.4,1,0.564113436,Missouri
3/25/2020,6137428,239359692,22.8,22.8,1,0.598467469,Missouri
3/26/2020,6137428,239359692,25.8,25.8,1,0.624925066,Missouri
3/27/2020,6137428,239359692,26.4,26.4,1,0.625806869,Missouri
3/28/2020,6137428,239359692,27.6,27.6,1,0.634507778,Missouri
3/29/2020,6137428,239359692,28.2,28.2,1,0.640276937,Missouri
3/30/2020,6137428,239359692,30,30,1,0.643400395,Missouri
3/31/2020,6137428,239359692,31.2,31.2,1,0.648035627,Missouri
4/1/2020,6137428,239359692,33.6,33.6,1,0.657540911,Missouri
4/2/2020,6137428,239359692,34.8,34.8,1,0.665521323,Missouri
4/3/2020,6137428,239359692,36.6,36.6,1,0.674588639,Missouri
4/4/2020,6137428,239359692,37.8,37.8,1,0.680341179,Missouri
4/5/2020,6137428,239359692,38.4,38.4,1,0.682130397,Missouri
4/6/2020,6137428,239359692,39,39,1,1,Missouri
3/4/2020,39512223,592683345,1.5,1.5,1,0.1,California
3/12/2020,39512223,592683345,4.5,4.5,1,0.3,California
3/13/2020,39512223,592683345,5.6,5.6,1,0.326590686,California
3/17/2020,39512223,592683345,9.5,9.5,1,0.436119782,California
3/19/2020,39512223,592683345,15,15,1,1,California
3/13/2020,5148714,25743570,0.5,0.5,1,0.1,South Carolina
3/15/2020,5148714,25743570,2,2,1,0.4,South Carolina
3/17/2020,5148714,25743570,3,3,1,0.6,South Carolina
3/23/2020,5148714,25743570,3,3,1,0.6,South Carolina
3/25/2020,5148714,25743570,3.4,3.4,1,0.610581905,South Carolina
3/26/2020,5148714,25743570,3.8,3.8,1,0.62094962,South Carolina
3/27/2020,5148714,25743570,4.2,4.2,1,0.623308888,South Carolina
4/1/2020,5148714,25743570,4.6,4.6,1,0.811654444,South Carolina
4/2/2020,5148714,25743570,4.8,4.8,1,0.815124748,South Carolina
4/7/2020,5148714,25743570,5,5,1,1,South Carolina
3/14/2020,2976149,20833043,0.7,0.7,1,0.1,Mississippi
3/21/2020,2976149,20833043,1.6,1.6,1,0.107213248,Mississippi
3/22/2020,2976149,20833043,3.4,3.4,1,0.126184274,Mississippi
3/24/2020,2976149,20833043,4.9,4.9,1,0.321314121,Mississippi
3/31/2020,2976149,20833043,6.3,6.3,1,0.347527526,Mississippi
4/1/2020,2976149,20833043,7,7,1,1,Mississippi
3/14/2020,1792147,1792147,0.4,0.4,1,0.4,West Virginia
3/16/2020,1792147,1792147,0.4,0.4,1,0.4,West Virginia
3/23/2020,1792147,1792147,1,1,1,1,West Virginia
2/29/2020,7614893,60919144,0.8,0.8,1,0.1,Washington
3/11/2020,7614893,60919144,1.4,1.4,1,0.20452793,Washington
3/12/2020,7614893,60919144,3.2,3.2,1,0.4,Washington
3/15/2020,7614893,60919144,4.8,4.8,1,0.6,Washington
3/21/2020,7614893,60919144,5.2,5.2,1,0.605844442,Washington
3/22/2020,7614893,60919144,6,6,1,0.621268953,Washington
3/23/2020,7614893,60919144,8,8,1,1,Washington
3/24/2020,7614893,60919144,8,8,1,1,Washington
3/13/2020,578759,1736277,0.3,0.3,1,0.1,Wyoming
3/15/2020,578759,1736277,1.2,1.2,1,0.4,Wyoming
3/28/2020,578759,1736277,2.4,2.4,1,0.435136905,Wyoming
3/12/2020,5822434,11644868,0.2,0.2,1,0.1,Wisconsin
3/13/2020,5822434,11644868,0.8,0.8,1,0.4,Wisconsin
3/16/2020,5822434,11644868,0.8,0.8,1,0.4,Wisconsin
3/17/2020,5822434,11644868,0.8,0.8,1,0.4,Wisconsin
3/23/2020,5822434,11644868,1.4,1.4,1,0.461007991,Wisconsin
3/24/2020,5822434,11644868,2,2,1,1,Wisconsin
3/13/2020,3205958,12823832,1.6,1.6,1,0.4,Utah
3/27/2020,3205958,12823832,2.8,2.8,1,0.445428418,Utah
4/1/2020,3205958,12823832,3.4,3.4,1,0.511957237,Utah
3/12/2020,7278717,58229736,0.8,0.8,1,0.1,Arizona
3/17/2020,7278717,58229736,2.2,2.2,1,0.312176528,Arizona
3/20/2020,7278717,58229736,5.7,5.7,1,0.81474481,Arizona
3/31/2020,7278717,58229736,8,8,1,1,Arizona
3/15/2020,3956971,142450956,3.6,3.6,1,0.1,Oklahoma
3/24/2020,3956971,142450956,11.5,11.5,1,0.321842389,Oklahoma
3/25/2020,3956971,142450956,22.6,22.6,1,0.675473487,Oklahoma
3/28/2020,3956971,142450956,23.8,23.8,1,0.834639172,Oklahoma
3/29/2020,3956971,142450956,27.4,27.4,1,0.858110459,Oklahoma
3/30/2020,3956971,142450956,28.2,28.2,1,0.872618323,Oklahoma
4/1/2020,3956971,142450956,29.4,29.4,1,0.896753148,Oklahoma
4/4/2020,3956971,142450956,29.8,29.8,1,0.90303098,Oklahoma
4/6/2020,3956971,142450956,30.6,30.6,1,0.906084123,Oklahoma
4/8/2020,3956971,142450956,31,31,1,0.908052498,Oklahoma
3/9/2020,11689100,11689100,0.1,0.1,1,0.1,Ohio
3/12/2020,11689100,11689100,0.3,0.3,1,0.3,Ohio
3/15/2020,11689100,11689100,0.6,0.6,1,0.6,Ohio
3/16/2020,11689100,11689100,0.8,0.8,1,0.8,Ohio
3/18/2020,11689100,11689100,0.8,0.8,1,0.8,Ohio
3/23/2020,11689100,11689100,1,1,1,1,Ohio
3/13/2020,623989,1247978,0.2,0.2,1,0.1,Vermont
3/15/2020,623989,1247978,0.8,0.8,1,0.4,Vermont
3/16/2020,623989,1247978,1.2,1.2,1,0.427499844,Vermont
3/17/2020,623989,1247978,1.6,1.6,1,0.8,Vermont
3/25/2020,623989,1247978,2,2,1,1,Vermont
3/30/2020,623989,1247978,2,2,1,1,Vermont
3/10/2020,6892503,27570012,0.4,0.4,1,0.1,Massachusetts
3/13/2020,6892503,27570012,1.3,1.3,1,0.13463276,Massachusetts
3/17/2020,6892503,27570012,2.4,2.4,1,0.6,Massachusetts
3/24/2020,6892503,27570012,4,4,1,1,Massachusetts
3/27/2020,6892503,27570012,4,4,1,1,Massachusetts
3/13/2020,1934408,110261256,5.7,5.7,1,0.1,Nebraska
3/19/2020,1934408,110261256,7.2,7.2,1,0.302845263,Nebraska
3/25/2020,1934408,110261256,9.2,9.2,1,0.405709292,Nebraska
3/29/2020,1934408,110261256,11.2,11.2,1,0.420267751,Nebraska
3/30/2020,1934408,110261256,17.2,17.2,1,0.441872552,Nebraska
3/31/2020,1934408,110261256,22.7,22.7,1,0.478662361,Nebraska
4/1/2020,1934408,110261256,30.2,30.2,1,0.500011011,Nebraska
4/3/2020,1934408,110261256,34.2,34.2,1,0.6,Nebraska
4/28/2020,1934408,110261256,34.2,34.2,1,0.6,Nebraska
3/13/2020,5639632,11279264,0.2,0.2,1,0.1,Minnesota
3/14/2020,5639632,11279264,0.4,0.4,1,0.110911882,Minnesota
3/17/2020,5639632,11279264,1.6,1.6,1,0.8,Minnesota
3/18/2020,5639632,11279264,1.6,1.6,1,0.8,Minnesota
3/27/2020,5639632,11279264,2,2,1,1,Minnesota
3/12/2020,9986857,9986857,0.4,0.4,1,0.4,Michigan
3/13/2020,9986857,9986857,0.4,0.4,1,0.4,Michigan
3/16/2020,9986857,9986857,0.6,0.6,1,0.6,Michigan
3/17/2020,9986857,9986857,0.6,0.6,1,0.6,Michigan
3/22/2020,9986857,9986857,0.8,0.8,1,0.8,Michigan
3/24/2020,9986857,9986857,1,1,1,1,Michigan
3/13/2020,884659,884659,0.1,0.1,1,0.1,South Dakota
3/16/2020,884659,884659,0.4,0.4,1,0.4,South Dakota
3/15/2020,694144,6829174,0.8,0.8,0.101643918,0.081315134,Tennessee
